,S.I,Entity / Organization Name,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes,Retest Comments
,39,7TH OF TIR,Pass,Pass,"Pass
(7TH OF TIR INDUSTRIAL COMPLEX / 7TH OF TIR INDUSTRIES / MOJTAMAE SANATE HAFTOME TIR / SANAYE HAFTOME TIR / 7TH OF TIR INDUSTRIES OF ISFAHAN/ESFAHAN / 7TH OF TIR COMPLEX / SEVENTH OF TIR)",-,Pass,,
,40,SINALOA CARTEL,Pass,Pass,"Pass
(CARTEL DE SINALOA / MEXICAN FEDERATION / GUADALAJARA CARTEL)",-,Pass,,
,41,PO THONG GANG (Vessel),Pass,Pass,N/A,-,Pass,,
,42,DAN (Vessel),Pass,Pass,N/A,-,Pass,,
,43,ALPHA HERMES (Vessel),Pass,Pass,N/A,-,Pass,,
,44,CASSIOPEIA (Vessel),Pass,Pass,N/A,-,Pass,,
,45,7-28 (Vessel),Pass,Pass,N/A,-,Pass,,
,46,T7-OKY (Aircraft),Pass,Pass,N/A,-,Pass,,
,47,P-537 (Aircraft),Pass,Pass,N/A,-,Pass,,
,48,EP-VIP (Aircraft),Pass,Pass,N/A,-,Pass,,
,49,EP-MNX (Aircraft),Pass,Pass,N/A,-,Pass,,
,50,RA-78831 (Aircraft),Pass,Pass,N/A,-,Pass,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,General Observations:,,,,,,
,,,"1. Search results for tested names frequently returned a higher number of matches compared to OFAC reference search results. However, the true sanctioned matches are consistently listed and in most cases, ranked among the top results. No material suppression of relevant sanctioned parties was observed. The higher result volume reflects broader matching sensitivity rather than a recall deficiency. This represents a calibration consideration rather than a compliance gap.",,,,,,
,,,"2. Hyphen and spacing normalization was tested across entities, vessels and aircraft identifiers. Matching behavior was observed to be consistent with OFAC reference search behavior. No material suppression of sanctioned names or identifiers was identified based on the tested formatting variations.",,,,,,
,,,"3. The system has a configurable setting that allows users to limit the number of search results returned (range: 1–100, default: 50). While this provides flexibility for performance and usability, restricting the number of returned results may introduce an operational visibility risk. True matches could fall outside the configured result range, particularly in high-noise name searches.",,,,,,
