,S.I,Entity / Organization Name,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes
,38,BANK ROSSIYA,Pass,"Screening using ROSSIYA (without “BANK”) failed to list the entity. Hits were instead generated on unrelated enity with aliases “RIHS"" while OFAC lists several matching records, including the main entity.","Pass
(AKTSIONERNY BANK RUSSIAN FEDERATION / AB ROSSIYA, OAO / OTKRYTOE AKTSIONERNOE OBSHCHESTVO AKTSIONERNY BANK ROSSIYA)",Using partial names shows unrelated results while missing valid OFAC records.,,
,39,STROYTRANSGAZ OJSC,Pass,Screening using STROYTRANSGAZ failed to list several matching records compared to OFAC list.,"Pass
(OAO STROYTRANSGAZ)",Using partial names shows unrelated results while missing valid OFAC records.,,
,40,DONBASS PEOPLE'S MILITIA,Pass,Pass,"Pass
(PEOPLE'S MILITIA OF DONBASS)",-,,
,41,DAWNLIGHT,Pass,Pass,N/A,-,,
,42,NPK TEKHMASH OAO,Pass,"Screening using TEKHMASH failed to list the entity and istead listed an entity with alias ""TSNIIAG"".","Pass
(Multiple aliases)",Using partial names shows unrelated results while missing valid OFAC records.,,
,43,RA NAM 2 (Vessel),Pass,Pass,N/A,-,,
,44,TONG HUNG 1 (Vessel),Pass,Pass,N/A,-,,
,45,P-672 (Aircraft),Score Trace Report matched the name with another aircraft (P-632) though P-672 was listed in search results.,Pass,N/A,Wrong name matching in Score Trace Report.,,
,46,P-813 (Aircraft),Pass,Pass,N/A,-,,
,47,STALINGRAD (Vessel),Pass,Pass,N/A,-,,
,48,KUM SONG 3 (Vessel),Pass,Pass,N/A,-,,
,49,EP-MOQ (Aircraft),"The hit was not correctly identified. The matched aliases were EP-MNG, EP-MNJ, EP-MNK, EP-MNQ,EP-MHG)",The hit was not correctly identified.,N/A,The true sanctioned match was not correctly identified in the results.,,
,50,AAJ (Vessel),"The hit was not correctly identified. The matched aliases were AUC, AUTODEFENSAS UNIDAS DE COLOMBIA, JAMIAT IHIA AL-TURATH AL-ISLAMIYA)",The hit was not correctly identified.,N/A,The true sanctioned match was not correctly identified in the results.,,
,51,EP-IBT (Aircraft),Pass,Pass,N/A,-,,
,52,OOO OTKRITIE CAPITAL,Pass,Screening using OTKRITIE failed to list several matching records compared to OFAC list.,Pass,Not all related OFAC-listed entities are shown in the results with partial name.,,
